Timestamp,WS_ms,variable,WindDir_deg,BP_mbar
2026-07-09 07:32:57,,WindDir_deg,56.0,
2026-07-09 07:32:58,,WindDir_deg,44.0,
2026-07-09 07:32:59,,WindDir_deg,59.0,
2026-07-09 07:33:00,,WindDir_deg,77.0,
2026-07-09 07:33:01,,WindDir_deg,54.0,
2026-07-09 07:33:02,,WindDir_deg,41.0,
2026-07-09 07:33:03,,WindDir_deg,51.0,
2026-07-09 07:33:04,,WindDir_deg,84.0,
2026-07-09 07:33:05,,WindDir_deg,65.0,
2026-07-09 07:33:07,,WindDir_deg,67.0,
2026-07-09 07:33:19,,WindDir_deg,64.0,
2026-07-09 07:33:21,,WindDir_deg,57.0,
2026-07-09 07:33:22,,WindDir_deg,73.0,
2026-07-09 07:33:23,,WindDir_deg,51.0,
2026-07-09 07:33:24,,WindDir_deg,54.0,
2026-07-09 07:33:26,,WindDir_deg,90.0,
2026-07-09 07:33:27,,WindDir_deg,28.0,
2026-07-09 07:33:28,,WindDir_deg,25.0,
2026-07-09 07:33:29,,WindDir_deg,61.0,
2026-07-09 07:33:30,,WindDir_deg,24.0,
2026-07-09 07:33:31,,WindDir_deg,53.0,
2026-07-09 07:33:32,,WindDir_deg,37.0,
2026-07-09 07:33:33,,WindDir_deg,59.0,
2026-07-09 07:33:34,,WindDir_deg,45.0,
2026-07-09 07:33:35,,WindDir_deg,37.0,
2026-07-09 07:33:37,,WindDir_deg,6.0,
2026-07-09 07:33:39,,WindDir_deg,31.0,
2026-07-09 07:33:40,,WindDir_deg,11.0,
2026-07-09 07:33:43,,WindDir_deg,74.0,
2026-07-09 07:33:46,,WindDir_deg,69.0,
2026-07-09 07:33:51,,WindDir_deg,32.0,
2026-07-09 07:33:52,,WindDir_deg,93.0,
2026-07-09 07:34:09,,WindDir_deg,16.0,
2026-07-09 07:34:10,,WindDir_deg,38.0,
2026-07-09 07:34:29,,WindDir_deg,46.0,
2026-07-09 07:34:30,,WindDir_deg,63.0,
2026-07-09 07:34:45,,WindDir_deg,91.0,
2026-07-09 07:34:46,,WindDir_deg,69.0,
2026-07-09 07:34:59,,WindDir_deg,96.0,
2026-07-09 07:35:03,,WindDir_deg,91.0,
2026-07-09 07:35:05,,WindDir_deg,70.0,
2026-07-09 07:35:06,,WindDir_deg,25.0,
2026-07-09 07:35:07,,WindDir_deg,41.0,
2026-07-09 07:35:11,,WindDir_deg,92.0,
2026-07-09 07:35:15,,WindDir_deg,90.0,
2026-07-09 07:35:16,,WindDir_deg,94.0,
2026-07-09 07:35:17,,WindDir_deg,92.0,
2026-07-09 07:35:18,,WindDir_deg,91.0,
2026-07-09 07:35:19,,WindDir_deg,92.0,
2026-07-09 07:35:20,,WindDir_deg,96.0,
2026-07-09 07:35:22,,WindDir_deg,56.0,
2026-07-09 07:35:23,,WindDir_deg,91.0,
2026-07-09 07:35:24,,WindDir_deg,90.0,
2026-07-09 07:35:26,,WindDir_deg,88.0,
2026-07-09 07:35:27,,WindDir_deg,77.0,
2026-07-09 07:35:28,,WindDir_deg,86.0,
2026-07-09 07:35:29,,WindDir_deg,75.0,
2026-07-09 07:35:30,,WindDir_deg,73.0,
2026-07-09 07:35:31,,WindDir_deg,90.0,
2026-07-09 07:35:32,,WindDir_deg,88.0,
2026-07-09 07:35:33,,WindDir_deg,70.0,
2026-07-09 07:35:34,,WindDir_deg,78.0,
2026-07-09 07:35:35,,WindDir_deg,72.0,
2026-07-09 07:35:36,,WindDir_deg,78.0,
2026-07-09 07:35:37,,WindDir_deg,76.0,
2026-07-09 07:35:39,,WindDir_deg,60.0,
2026-07-09 07:35:40,,WindDir_deg,74.0,
2026-07-09 07:35:41,,WindDir_deg,80.0,
2026-07-09 07:35:42,,WindDir_deg,93.0,
2026-07-09 07:35:43,,WindDir_deg,92.0,
2026-07-09 07:35:44,,WindDir_deg,84.0,
2026-07-09 07:35:45,,WindDir_deg,85.0,
2026-07-09 07:35:46,,WindDir_deg,87.0,
2026-07-09 07:35:47,,WindDir_deg,78.0,
2026-07-09 07:35:48,,WindDir_deg,80.0,
